Simplified,English Translation,Pinyin
民,people,mín
时间,time,Shíjiān
一年,year,yī nián
事,thing,shì
道路,way,dàolù
一天,day,yītiān
男人,man,nánrén
状态,state,zhuàngtài
地段,lot,dìduàn
女人,woman,nǚrén
国内,country,guónèi
生活,life,shēnghuó
问题,question,wèntí
总统,president,zǒngtǒng
孩子,child,háizi
一周,week,yīzhōu
世界,world,shìjiè
那种,kind,nà zhǒng
案件,case,ànjiàn
问题,problem,wèntí
事实,fact,shìshí
家庭,family,jiātíng
这个故事,story,zhège gùshì
点,point,diǎn
政府,government,zhèngfǔ
钱,money,qián
问题,issue,wèntí
部分,part,bùfèn
清晨,morning,qīngchén
那家伙,guy,nà jiāhuo
数量,number,shùliàng
就业,job,jiùyè
夜晚,night,yèwǎn
正确的,right,zhèngquè de
学校,school,xuéxiào
的地方,place,dì dìfāng
战争,war,zhànzhēng
孩子,kid,háizi
一个月,month,yīgè yuè
本书,book,běn shū
小时,hour,xiǎoshí
演出,show,yǎnchū
警方,police,jǐngfāng
该程序,program,gāi chéngxù
党,party,dǎng
法律,law,fǎlǜ
字,word,zì
此人,person,cǐ rén
主场,home,zhǔchǎng
业务,business,yèwù
朋友,friend,péngyǒu
公司,company,gōngsī
侧面,side,cèmiàn
税,tax,shuì
民主党,democrat,mínzhǔdǎng
该集团,group,gāi jítuán
瞬间,moment,shùnjiān
破,break,pò
这个想法,idea,zhège xiǎngfǎ
成员,member,chéngyuán
系统,system,xìtǒng
一分钟,minute,yī fēnzhōng
原因,reason,yuányīn
竞选,campaign,jìngxuǎn
工作,work,gōngzuò
全国,nation,quánguó
大会,congress,dàhuì
母亲,mother,mǔqīn
力,force,lì
健康,health,jiànkāng
背部,back,bèibù
区域,area,qūyù
名字,name,míngzì
报告,report,bàogào
手,hand,shǒu
行,line,xíng
结束,end,jiéshù
法院,court,fǎyuàn
护理,care,hùlǐ
夫妻,couple,fūqī
房子,house,fángzi
美国,american,měiguó
父亲,father,fùqīn
情况,situation,qíngkuàng
汽车,car,qìchē
父,parent,fù
管理,administration,guǎnlǐ
药物,drug,yàowù
城市,city,chéngshì
感,sense,gǎn
政策,policy,zhèngcè
办公室,office,bàngōngshì
决定,decision,juédìng
动力,power,dònglì
计划,plan,jìhuà
领导者,leader,lǐngdǎo zhě
信息,information,xìnxī
选,election,xuǎn
电影,movie,diànyǐng
死亡,death,sǐwáng
空气,air,kōngqì
通话,call,tōnghuà
社区,community,shèqū
外观,look,wàiguān
证据,evidence,zhèngjù
女孩,girl,nǚhái
医生,doctor,yīshēng
投票,vote,tóupiào
视频,video,shìpín
图片,picture,túpiàn
房间,room,fángjiān
该位,bit,gāi wèi
经济,economy,jīngjì
手机,phone,shǒujī
历史,history,lìshǐ
排序,sort,páixù
男孩,boy,nánhái
犯罪,crime,fànzuì
流程,process,liúchéng
妻子,wife,qīzi
音乐,music,yīnyuè
水,water,shuǐ
服务,service,fúwù
记录,record,jìlù
安全,security,ānquán
会谈,talk,huìtán
心灵,mind,xīnlíng
头部,head,tóu bù
候选,candidate,hòuxuǎn
官方,official,guānfāng
摄像头,camera,shèxiàngtóu
学生,student,xuéshēng
攻击,attack,gōngjí
机会,chance,jīhuì
游戏,game,yóuxì
宝宝,baby,bǎobǎo
南方,south,nánfāng
变化,change,biànhuà
试用,trial,shìyòng
身体,body,shēntǐ
市场,market,shìchǎng
东东,stuff,dōng dōng
兴趣,interest,xìngqù
武器,weapon,wǔqì
的心脏,heart,de xīnzàng
儿子,son,érzi
球队,team,qiú duì
小镇,town,xiǎo zhèn
电视,television,diànshì
意志,will,yìzhì
队伍,troop,duìwǔ
法官,judge,fǎguān
行动,action,xíngdòng
答案,answer,dá'àn
位置,position,wèizhì
视图,view,shìtú
区别,difference,qūbié
食品,food,shípǐn
女儿,daughter,nǚ'ér
比赛,race,bǐsài
成交,deal,chéngjiāo
街头,street,jiētóu
价格,price,jiàgé
消息,message,xiāoxī
控制,control,kòngzhì
辩论,debate,biànlùn
军官,officer,jūnguān
电影,film,diànyǐng
水平,level,shuǐpíng
努力,effort,nǔlì
关系,relationship,guānxì
记者,correspondent,jìzhě
地面,ground,dìmiàn
片,piece,piàn
丈夫,husband,zhàngfū
预算,budget,yùsuàn
陪审团,jury,péishěn tuán
记者,reporter,jìzhě
周末,weekend,zhōumò
此事,matter,cǐ shì
年龄,age,niánlíng
枪,gun,qiāng
和平,peace,hépíng
谋杀,murder,móushā
角色,role,juésè
调查,investigation,diàochá
经验,experience,jīngyàn
医院,hospital,yīyuàn
眼,eye,yǎn
导演,director,dǎoyǎn
未来,future,wèilái
面对,face,miàn duì
油,oil,yóu
结果,result,jiéguǒ
公众,public,gōngzhòng
律师,lawyer,lǜshī
民意调查,poll,mínyì diàochá
第二,second,dì èr
机会,opportunity,jīhuì
行业,industry,hángyè
的哥,brother,dí gē
声明,statement,shēngmíng
火,fire,huǒ
爱情,love,àiqíng
率,rate,lǜ
效果,effect,xiàoguǒ
这首歌,song,zhè shǒu gē
事件,event,shìjiàn
充电,charge,chōngdiàn
支持,support,zhīchí
无线电,radio,wúxiàndiàn
建筑,building,jiànzhú
银行,bank,yínháng
受害者,victim,shòuhài zhě
门,door,mén
采访,interview,cǎifǎng
现场,scene,xiànchǎng
其余的部分,rest,qíyú de bùfèn
新闻,press,xīnwén
注意,attention,zhùyì
选择,choice,xuǎnzé
讲话,speech,jiǎnghuà
病人,patient,bìngrén
真相,truth,zhēnxiàng
在路上,road,zài lùshàng
期限,term,qíxiàn
网站,site,wǎngzhàn
工人,worker,gōngrén
教授,professor,jiàoshòu
信,letter,xìn
改革,reform,gǎigé
关注,concern,guānzhù
民间,folk,mínjiān
性别,sex,xìngbié
研究,study,yánjiū
学院,college,xuéyuàn
选民,voter,xuǎnmín
墙上,wall,qiáng shàng
晚上,evening,wǎnshàng
会议,meeting,huìyì
声音,voice,shēngyīn
观众,audience,guānzhòng
暴力,violence,bàolì
规则,rule,guīzé
明星,star,míngxīng
测试,test,cèshì
教育,education,jiàoyù
麻烦,trouble,máfan
风险,risk,fēngxiǎn
监狱,prison,jiānyù
客人,guest,kèrén
类,class,lèi
社会,society,shèhuì
士兵,soldier,shìbīng
飞机,plane,fēijī
量,amount,liàng
帮助,help,bāngzhù
成本,cost,chéngběn
权威,authority,quánwēi
脚,foot,jiǎo
期,period,qī
感觉,feeling,gǎnjué
步骤,step,bùzhòu
事业,cause,shìyè
磁带,tape,cídài
威胁,threat,wēixié
意见,opinion,yìjiàn
该组织,organization,gāi zǔzhī
类型,type,lèixíng
谈话,conversation,tánhuà
本病,disease,běn bìng
操作,operation,cāozuò
癌症,cancer,áizhèng
该杂志,magazine,gāi zázhì
州长,governor,zhōuzhǎng
压力,pressure,yālì
多数,majority,duōshù
研究,research,yánjiū
字符,character,zìfú
该站,station,gāi zhàn
危机,crisis,wéijī
专家,expert,zhuānjiā
血,blood,xuè
董事长,chairman,dǒngshì zhǎng
参数,argument,cānshù
名单,list,míngdān
狗,dog,gǒu
计算机,computer,jìsuànjī
开始,beginning,kāishǐ
保险,insurance,bǎoxiǎn
现场,field,xiànchǎng
姐姐,sister,jiějiě
错误,mistake,cuòwù
播放器,player,bòfàng qì
能源,energy,néngyuán
纸,paper,zhǐ
空间,space,kōngjiān
店,store,diàn
协议,agreement,xiéyì
责任,responsibility,zérèn
女士,lady,nǚshì
顺序,order,shùnxù
夏,summer,xià
产品,product,chǎnpǐn
值,value,zhí
股票,stock,gǔpiào
情报,intelligence,qíngbào
老师,teacher,lǎoshī
该机构,agency,gāi jī gòu
贸易,trade,màoyì
会议,conference,huìyì
细胞,cell,xìbāo
教堂,church,jiàotáng
评论,comment,pínglùn
来源,source,láiyuán
过去,past,guòqù
切,cut,qiè
思想,thought,sīxiǎng
信贷,credit,xìndài
希望,hope,xīwàng
符号,sign,fúhào
职业生涯,career,zhíyè shēngyá
结婚,marriage,jiéhūn
条件,condition,tiáojiàn
证人,witness,zhèngrén
技术,technology,jìshù
舞台,stage,wǔtái
工作人员,staff,gōngzuò rényuán
手臂,arm,shǒubì
使命,mission,shǐmìng
艺术,art,yìshù
演员,actor,yǎnyuán
战斗,battle,zhàndòu
顶,top,dǐng
公民,citizen,gōngmín
笔者,author,bǐzhě
反应,reaction,fǎnyìng
绅士,gentleman,shēnshì
领导,leadership,lǐngdǎo
恐惧,fear,kǒngjù
这个例子,example,zhège lìzi
语言,language,yǔyán
需要,need,xūyào
司法,justice,sīfǎ
讨论,discussion,tǎolùn
边境,border,biānjìng
动物,animal,dòngwù
细节,detail,xìjié
响应,response,xiǎngyìng
网络,network,wǎngluò
运动,movement,yùndòng
使用,use,shǐyòng
男,male,nán
资本,capital,zīběn
听证会,hearing,tīngzhèng huì
标准,standard,biāozhǔn
受益,benefit,shòuyì
表,table,biǎo
治疗,treatment,zhìliáo
代理,agent,dàilǐ
该卡,card,gāi kǎ
拍摄,shot,pāishè
董事会,board,dǒngshìhuì
现实,reality,xiànshí
该先生,sir,gāi xiānshēng
土地,land,tǔdì
该项目,project,gāi xiàngmù
光,light,guāng
图像,image,túxiàng
世纪,century,shìjì
页面,page,yèmiàn
成功,success,chénggōng
声音,sound,shēngyīn
影响,impact,yǐngxiǎng
痛,pain,tòng
本赛季,season,běn sàijì
个人,individual,gèrén
体育,sport,tǐyù
工作室,studio,gōngzuò shì
十年,decade,shí nián
挑战,challenge,tiǎozhàn
梦想,dream,mèngxiǎng
报纸,newspaper,bàozhǐ
地板,floor,dìbǎn
战斗,fight,zhàndòu
安全,safety,ānquán
行为,act,xíngwéi
行程,trip,xíngchéng
课程,course,kèchéng
可能性,possibility,kěnéng xìng
自由,freedom,zìyóu
基金,fund,jījīn
座位,seat,zuòwèi
炸弹,bomb,zhàdàn
表单,form,biǎodān
执行,executive,zhíxíng
部长,minister,bùzhǎng
赤字,deficit,chìzì
发展,development,fāzhǎn
飞行,flight,fēixíng
秘书,secretary,mìshū
委员会,committee,wěiyuánhuì
消费者,consumer,xiāofèi zhě
摇滚,rock,yáogǔn
图,figure,tú
主题,subject,zhǔtí
文化,culture,wénhuà
头发,hair,tóufǎ
覆盖范围,coverage,fùgài fànwéi
损失,loss,sǔnshī
爸爸,dad,bàba
说明,note,shuōmíng
活动,activity,huódòng
目标,goal,mùbiāo
选项,option,xuǎnxiàng
气,gas,qì
该地区,region,gāi dìqū
人口,population,rénkǒu
能力,ability,nénglì
分辨率,resolution,fēnbiàn lǜ
员工,employee,yuángōng
大脑,brain,dànǎo
政治家,politician,zhèngzhì jiā
中间,middle,zhōngjiān
风暴,storm,fēngbào
发电,generation,fādiàn
评论家,critic,pínglùn jiā
风扇,fan,fēngshàn
科学家,scientist,kēxuéjiā
目标,target,mùbiāo
营地,camp,yíngdì
下午,afternoon,xiàwǔ
方向,direction,fāngxiàng
科学,science,kēxué
记者,journalist,jìzhě
度,degree,dù
外遇,affair,wàiyù
伤害,damage,shānghài
战略,strategy,zhànlüè
因素,factor,yīnsù
工厂,plant,gōngchǎng
民主,democracy,mínzhǔ
疑点,doubt,yídiǎn
该解决方案,solution,gāi jiějué fāng'àn
消费,spending,xiāofèi
培训,training,péixùn
滥用,abuse,lànyòng
危险,danger,wéixiǎn
环境,environment,huánjìng
记忆,memory,jìyì
大自然,nature,dà zìrán
材料,material,cáiliào
文件,document,wénjiàn
收入,income,shōurù
分析师,analyst,fēnxī shī
播放,play,bòfàng
后卫,guard,hòuwèi
酒店,hotel,jiǔdiàn
编辑,editor,biānjí
导弹,missile,dǎodàn
事故,accident,shìgù
目的,purpose,mùdì
作家,writer,zuòjiā
紧急,emergency,jǐn jí
成长,growth,chéngzhǎng
床上,bed,chuángshàng
福利,welfare,fúlì
成人,adult,chéngrén
信念,faith,xìnniàn
提案,proposal,tí'àn
该模型,model,gāi móxíng
军队,army,jūnduì
事件,incident,shìjiàn
包装盒,box,bāozhuāng hé
人群,crowd,rénqún
尊重,respect,zūnzhòng
部门,department,bùmén
访问,access,fǎngwèn
日期,date,rìqí
首席,chief,shǒuxí
天气,weather,tiānqì
机场,airport,jīchǎng
本机,machine,běn jī
窗口,window,chuāngkǒu
议程,agenda,yìchéng
建议,advice,jiànyì
起诉,prosecution,qǐsù
冲突,conflict,chōngtú
秋季,fall,qiūjì
试点,pilot,shìdiǎn
实践,practice,shíjiàn
轨道,track,guǐdào
店主,owner,diànzhǔ
增加,increase,zēngjiā
立法,legislation,lìfǎ
树,tree,shù
债务,debt,zhàiwù
敌人,enemy,dírén
卡车,truck,kǎchē
领先,lead,lǐngxiān
公约,convention,gōngyuē
援助,aid,yuánzhù
自杀,suicide,zìshā
质量,quality,zhìliàng
保守,conservative,bǎoshǒu
尺寸,size,chǐcùn
帐户,account,zhànghù
乐趣,pleasure,lèqù
该机构,institution,gāi jīgòu
航空公司,airline,hángkōng gōngsī
重量,weight,zhòngliàng
该方法,approach,gāi fāngfǎ
手术,surgery,shǒushù
节日,holiday,jiérì
开始,start,kāishǐ
胜利,victory,shènglì
区,district,qū
关系,relation,guānxì
搜索,search,sōusuǒ
船员,crew,chuányuán
面板,panel,miànbǎn
联盟,coalition,liánméng
举,move,jǔ
包,package,bāo
检查,check,jiǎnchá
少数,minority,shǎoshù
单位,unit,dānwèi
包,bag,bāo
惊喜,surprise,jīngxǐ
重点,focus,zhòngdiǎn
的情况下,circumstance,de qíngkuàng xià
生产者,producer,shēngchǎn zhě
投资,investment,tóuzī
球,ball,qiú
同事,colleague,tóngshì
资源,resource,zīyuán
判决,judgment,pànjué
后台,background,hòutái
工会,union,gōnghuì
地址,address,dìzhǐ
司机,driver,sījī
英雄,hero,yīngxióng
药,medicine,yào
代表,representative,dàibiǎo
汽车,vehicle,qìchē
指挥官,commander,zhǐhuī guān
艺术家,artist,yìshùjiā
市长,mayor,shì zhǎng
运行,run,yùnxíng
船,ship,chuán
屏幕,screen,píngmù
教训,lesson,jiàoxùn
驻地,resident,zhùdì
合作伙伴,partner,hézuò huǒbàn
酒吧,bar,jiǔbā
门票,ticket,ménpiào
灾难,disaster,zāinàn
性能,performance,xìngnéng
的支持者,supporter,de zhīchí zhě
杀手,killer,shāshǒu
谈判,negotiation,tánpàn
海,sea,hǎi
风,wind,fēng
鞋,shoe,xié
秘密,secret,mìmì
悲剧,tragedy,bēijù
礼物,gift,lǐwù
游,tour,yóu
经理,manager,jīnglǐ
乐队,band,yuèduì
诞生,birth,dànshēng
主人,host,zhǔrén
贷款,loan,dàikuǎn
指控,allegation,zhǐkòng
赢家,winner,yíngjiā
宗教,religion,zōngjiào
文章,article,wénzhāng
会议,session,huìyì
在幸福,being,zài xìngfú
范围,extent,fànwéi
合同,contract,hétóng
句子,sentence,jùzi
措施,measure,cuòshī
副,deputy,fù
信心,confidence,xìnxīn
地狱,hell,dìyù
救援,relief,jiùyuán
透视,perspective,tòushì
优势,advantage,yōushì
丑闻,scandal,chǒuwén
腿,leg,tuǐ
餐厅,restaurant,cāntīng
晚餐,dinner,wǎncān
客户端,client,kèhù duān
失败,failure,shībài
本季度,quarter,běn jìdù
元素,element,yuánsù
索赔,claim,suǒpéi
物业,property,wùyè
该版本,version,gāi bǎnběn
尝试,attempt,chángshì
公交车,bus,gōngjiāo chē
客户,customer,kèhù
上诉,appeal,shàngsù
英镑,pound,yīngbàng
保护,protection,bǎohù
基因,gene,jīyīn
石,stone,shí
反对派,opposition,fǎnduì pài
公寓,apartment,gōngyù
前,front,qián
女性,female,nǚxìng
囚犯,prisoner,qiúfàn
黑,black,hēi
帮派,gang,bāngpài
原则,principle,yuánzé
盟友,ally,méngyǒu
该顾问,adviser,gāi gùwèn
访问,visit,fǎngwèn
鸟,bird,niǎo
展台,stand,zhǎntái
通信,communication,tōngxìn
船,boat,chuán
连接,connection,liánjiē
关键,key,guānjiàn
罢工,strike,bàgōng
点球,penalty,diǎn qiú
警示,warning,jǐngshì
运气,luck,yùnqì
该DNA,dna,gāi DNA
精神,spirit,jīngshén
转,turn,zhuǎn
设施,facility,shèshī
小将,teenager,xiǎojiàng
承诺,commitment,chéngnuò
该项目,item,gāi xiàngmù
步骤,procedure,bùzhòu
半,half,bàn
坦克,tank,tǎnkè
电话,telephone,diànhuà
供应,supply,gōngyìng
态度,attitude,tàidù
块,block,kuài
债券,bond,zhàiquàn
风格,style,fēnggé
足球,football,zúqiú
燃料,fuel,ránliào
数据,data,shùjù
玻璃,glass,bōlí
西装,suit,xīzhuāng
实力,strength,shílì
批评,criticism,pīpíng
冰,ice,bīng
设备,equipment,shèbèi
承诺,promise,chéng nuò
回报,return,huíbào
这张专辑,album,zhè zhāng zhuānjí
生产,production,shēngchǎn
角落,corner,jiǎoluò
后果,consequence,hòuguǒ
客厅,living,kètīng
受伤,injury,shòushāng
封面,cover,fēngmiàn
现货,spot,xiànhuò
乳房,breast,rǔfáng
春天,spring,chūntiān
争议,controversy,zhēngyì
毁灭,destruction,huǐmiè
纵横,aspect,zònghéng
俱乐部,club,jùlèbù
飞机,aircraft,fēijī
该公司,firm,gāi gōngsī
政权,regime,zhèngquán
竞争,competition,jìngzhēng
利润,profit,lìrùn
知识,knowledge,zhīshì
发言人,spokesman,fāyán rén
审查,review,shěnchá
了解,understanding,liǎojiě
经济衰退,recession,jīngjì shuāituì
歌手,singer,gēshǒu
村,village,cūn
落网,arrest,luòwǎng
雪,snow,xuě
笑话,joke,xiàohuà
金,gold,jīn
联系人,contact,liánxì rén
需求,demand,xūqiú
任务,task,rènwù
孔,hole,kǒng
一般,general,yībān
皮肤,skin,pífū
计数,count,jìshù
对手,opponent,duìshǒu
结论,conclusion,jiélùn
优先级,priority,yōuxiān jí
强奸,rape,qiángjiān
难民,refugee,nànmín
山,mountain,shān
峰会,summit,fēnghuì
底部,bottom,dǐbù
管理,management,guǎnlǐ
佣金,commission,yōngjīn
范围,range,fànwéi
代码,code,dàimǎ
现金,cash,xiànjīn
口,mouth,kǒu
存在,presence,cúnzài
份额,share,fèn'é
时尚,fashion,shíshàng
形状,shape,xíngzhuàng
椅子,chair,yǐzi
手指,finger,shǒuzhǐ
鱼,fish,yú
版本,edition,bǎnběn
边缘,edge,biānyuán
极限,limit,jíxiàn
火车,train,huǒchē
信仰,belief,xìnyǎng
平衡,balance,pínghéng
交流,exchange,jiāoliú
农场,farm,nóngchǎng
区域,zone,qūyù
乘客,passenger,chéngkè
谎言,lie,huǎngyán
值班,duty,zhíbān
交通,traffic,jiāotōng
马,horse,mǎ
传统,tradition,chuántǒng
恢复,recovery,huīfù
检查员,inspector,jiǎnchá yuán
难度,difficulty,nándù
文件,file,wénjiàn
生日,birthday,shēngrì
财务,finance,cáiwù
崩溃,crash,bēngkuì
影响,influence,yǐngxiǎng
监管,regulation,jiānguǎn
分析,analysis,fēnxī
斗争,struggle,dòuzhēng
热,heat,rè
礼服,dress,lǐfú
发布,release,fābù
冬季,winter,dōngjì
该病毒,virus,gāi bìngdú
主题,theme,zhǔtí
概念,notion,gàiniàn
设备,device,shèbèi
愤怒,anger,fènnù
英文,english,yīngwén
旗,flag,qí
上下文,context,shàngxiàwén
翼,wing,yì
战斗,fighting,zhàndòu
模式,pattern,móshì
娱乐,entertainment,yúlè
外观,appearance,wàiguān
储蓄,saving,chúxù
投资者,investor,tóuzī zhě
桥,bridge,qiáo
结算,settlement,jiésuàn
雨,rain,yǔ
木,wood,mù
邮件,mail,yóujiàn
农民,farmer,nóngmín
谜,mystery,mí
祈祷,prayer,qídǎo
视力,vision,shìlì
抑郁症,depression,yìyù zhèng
爆炸,explosion,bàozhà
被告,defendant,bèigào
结构,structure,jiégòu
修正,amendment,xiūzhèng
攻击,assault,gōngjí
思维,thinking,sīwéi
该疗法,therapy,gāi liáofǎ
护士,nurse,hùshì
路径,path,lùjìng
资金,funding,zījīn
该工具,tool,gāi gōngjù
称号,title,chēnghào
住房,housing,zhùfáng
店,shop,diàn
投诉,complaint,tóusù
波,wave,bō
猫,cat,māo
地图,map,dìtú
雇主,employer,gùzhǔ
证明,proof,zhèngmíng
情感,emotion,qínggǎn
技能,skill,jìnéng
信任,trust,xìnrèn
话题,topic,huàtí
个性,personality,gèxìng
大厅,hall,dàtīng
内阁,cabinet,nèigé
骨,bone,gǔ
灵魂,soul,línghún
鸡,chicken,jī
地点,location,dìdiǎn
指示,indication,zhǐshì
扬声器,speaker,yángshēngqì
工资,wage,gōngzī
时代,era,shídài
要求,request,yāoqiú
老板,boss,lǎobǎn
教练,coach,jiàoliàn
地产,estate,dìchǎn
行业,sector,hángyè
鸡蛋,egg,jīdàn
股权,stake,gǔquán
停止,stop,tíngzhǐ
环,ring,huán
震荡,shock,zhèndàng
贡献,contribution,gòngxiàn
公布,announcement,gōngbù
香烟,cigarette,xiāngyān
厨房,kitchen,chúfáng
境内,territory,jìngnèi
命令,command,mìnglìng
岛,island,dǎo
抗议,protest,kàngyì
印象,impression,yìnxiàng
故障,fault,gùzhàng
海岸,coast,hǎi'àn
阅读,reading,yuèdú
品种,variety,pǐnzhǒng
收入,revenue,shōurù
钟,bell,zhōng
咖啡,coffee,kāfēi
酒精,alcohol,jiǔjīng
午餐,lunch,wǔcān
预期,expectation,yùqí
档次,grade,dàngcì
饮食,diet,yǐnshí
部分,section,bùfèn
耳朵,ear,ěrduǒ
天空,sky,tiānkōng
援助,assistance,yuánzhù
信号,signal,xìnhào
应力,stress,yìnglì
替代,alternative,tìdài
研究人员,researcher,yánjiū rényuán
电缆,cable,diànlǎn
开幕,opening,kāimù
沙滩,beach,shātān
志愿者,volunteer,zhìyuàn zhě
负担,burden,fùdān
侦探,detective,zhēntàn
玩具,toy,wánjù
增益,gain,zēngyì
资产,asset,zīchǎn
泳池,pool,yǒngchí
趋势,trend,qūshì
调查,survey,diàochá
这个星球,planet,zhège xīngqiú
江,river,jiāng
身份,identity,shēnfèn
大洋,ocean,dàyáng
喜悦,joy,xǐyuè
延迟,delay,yánchí
诊所,clinic,zhěnsuǒ
院子里,yard,yuànzi lǐ
尖端,tip,jiānduān
离婚,divorce,líhūn
太阳,sun,tàiyáng
行,row,xíng
短语,phrase,duǎnyǔ
万般,worth,wànbān
收集,collection,shōují
际,occasion,jì
表面,surface,biǎomiàn
领带,tie,lǐngdài
音乐家,musician,yīnyuè jiā
概念,concept,gàiniàn
张力,tension,zhānglì
结果,outcome,jiéguǒ
批准,approval,pīzhǔn
老乡,fellow,lǎoxiāng
美女,beauty,měinǚ
伤亡,casualty,shāngwáng
副本,copy,fùběn
矿井,mine,kuàngjǐng
手表,watch,shǒubiǎo
睡眠,sleep,shuìmián
平均,average,píngjūn
旅游,travel,lǚyóu
欺诈,fraud,qīzhà
类别,category,lèibié
演习,exercise,yǎnxí
信念,conviction,xìnniàn
主动,initiative,zhǔdòng
技术,technique,jìshù
录音,recording,lùyīn
视线,sight,shìxiàn
减少,reduction,jiǎnshǎo
整个,whole,zhěnggè
公司,corporation,gōngsī
激情,passion,jīqíng
葬礼,funeral,zànglǐ
青春,youth,qīngchūn
仪器,instrument,yíqì
距离,distance,jùlí
沙漠,desert,shāmò
周年,anniversary,zhōunián
写作,writing,xiězuò
入侵,invasion,rùqīn
妥协,compromise,tuǒxié
病情,illness,bìngqíng
泪,tear,lèi
门,gate,mén
林,forest,lín
实验,experiment,shíyàn
高尔夫,golf,gāo'ěrfū
人才,talent,réncái
后,post,hòu
差距,gap,chājù
牧师,priest,mùshī
小说,novel,xiǎoshuō
师,division,shī
欲望,desire,yùwàng
帽子,hat,màozi
抵押贷款,mortgage,dǐyā dàikuǎn
信誉,reputation,xìnyù
比分,score,bǐfēn
肩,shoulder,jiān
相对,relative,xiāngduì
列,column,liè
支付,payment,zhīfù
过渡,transition,guòdù
获奖,award,huòjiǎng
能力,capability,nénglì
定义,definition,dìngyì
口袋,pocket,kǒudài
速度,speed,sùdù
演唱会,concert,yǎnchàng huì
气候,climate,qìhòu
线索,clue,xiànsuǒ
啤酒,beer,píjiǔ
鼻子,nose,bízi
绿,green,lǜ
花园,garden,huāyuán
卫星,satellite,wèixīng
仪式,ceremony,yíshì
人类,human,rénlèi
发现,discovery,fāxiàn
搭,ride,dā
根,root,gēn
茶,tea,chá
的议案,motion,de yì'àn
百分比,percentage,bǎifēnbǐ
组合,combination,zǔhé
说明,explanation,shuōmíng
规模,scale,guīmó
链,chain,liàn
双子,twin,shuāngzǐ
容量,capacity,róngliàng
经销商,dealer,jīngxiāo shāng
触摸,touch,chùmō
旅程,journey,lǚchéng
委托,delegate,wěituō
链接,link,liànjiē
塑料,plastic,sùliào
刺激,stimulus,cìjī
帽,cap,mào
辊,roll,gǔn
建设,construction,jiànshè
意向,intention,yìxiàng
争议,dispute,zhēngyì
情绪,mood,qíngxù
设计,design,shèjì
童年,childhood,tóngnián
发动机,engine,fādòngjī
寿命,lifetime,shòumìng
噩梦,nightmare,èmèng
舞蹈,dance,wǔdǎo
餐,meal,cān
报价,offer,bàojià
义务,obligation,yìwù
前进,advance,qiánjìn
慈善,charity,císhàn
旅游,tourist,lǚyóu
工厂,factory,gōngchǎng
脂肪,fat,zhīfáng
盐,salt,yán
颈部,neck,jǐng bù
卧室,bedroom,wòshì
情节,episode,qíngjié
工程师,engineer,gōngchéngshī
处罚,punishment,chǔfá
测试,testing,cèshì
实例,instance,shílì
前景,prospect,qiánjǐng
购物,shopping,gòuwù
烟,smoke,yān
肉,meat,ròu
保持,hold,bǎochí
退休,retirement,tuìxiū
通胀,inflation,tōngzhàng
电视剧,drama,diànshìjù
办公桌,desk,bàngōng zhuō
工资,salary,gōngzī
圣经,bible,shèngjīng
补助,grant,bǔzhù
示范,demonstration,shìfàn
对话,dialogue,duìhuà
物质,substance,wùzhí
核心,core,héxīn
条约,treaty,tiáoyuē
人员,personnel,rényuán
样本,sample,yàngběn
战术,tactic,zhànshù
该方法,method,gāi fāngfǎ
噪音,noise,zàoyīn
客观,objective,kèguān
花,flower,huā
杯,cup,bēi
温度,temperature,wēndù
符号,symbol,fúhào
革命,revolution,gémìng
味道,taste,wèidào
博物馆,museum,bówùguǎn
